PRES,TEMP,THCK,SWAT,POROM,POROF,PERMM,PERMF,FRACS,VLCH4,PLCH4,VLCO2,PLCO2,QINJ,QPROD,TPROD,PWFPROD,PFRAC,LX,LY,LWELL,LFRAC,SRVPORO,SRVPERM,SRVSPAC,T1,TINJ,Gi
5734.3,172.6,171.3,13.6,6.06,1.37,1.96E-05,0.00024,1.87,167.2,346.4,940.2,444.7,164.3,4205.59,12991.6,809.31,6896,5789.6,1126.09,4616.9,580.2,1.97,0.0018,1.445,16.68,1.40E+04,2320025
3828.5,156.7,120.3,6.8,8.79,1.24,8.19E-05,0.000212,2.74,67.6,697.6,308.1,371.3,91.6,1596.91,10828.5,387.46,4611.7,4226.9,860.07,2736.8,635.1,1.54,0.0016,1.197,29.9,1.20E+04,1075215
7421.8,146.8,247.8,11.6,8.95,1.69,6.67E-05,0.00062,2.66,186.9,257.1,659.1,257.6,303.9,10137.8,9939.8,1665.27,10112.6,4691.3,926.92,3475.9,717.7,2.16,0.0052,1.874,9.02,1.10E+04,3432504
3336.6,186.5,139.2,9.6,8.95,1.08,7.01E-05,0.000433,1.24,199.1,386.5,806.3,460.8,164.4,6002.84,17132.5,201.92,4224.7,5115.6,1399.56,4235.5,863.1,1.34,0.0052,0.686,16.67,1.90E+04,3064653
5006.1,165,253.2,7.8,5.75,0.83,1.39E-05,0.000955,1.22,142.3,573.6,792.3,890.6,193,10064.8,16500.8,2000.28,7053,5080.3,1233.23,3455.8,967.1,1.15,0.0102,0.649,14.19,1.90E+04,3629545
3751.1,174.2,232.5,8,7.31,1.93,1.93E-05,0.000892,0.92,74.8,280.9,196.7,521.5,60.2,3655.42,14841.5,1839.71,4508,3685.3,770.9,2479.9,450.1,2.6,0.0086,0.411,45.54,1.90E+04,1150399
4018.7,151.7,121.7,13.5,7.26,1.52,5.97E-05,0.000587,2.24,248.5,426.4,645.3,235.8,174.3,2340.98,10353.6,1988.58,5185.8,4662.5,1985.29,3878.9,998.8,1.89,0.003,1.6,15.72,1.10E+04,1916910
5048.4,149.2,198.8,5.2,5.77,1.84,6.56E-05,0.000258,2.66,149.3,734.5,539.9,543,73.1,4195.36,12743.9,1272.06,6334.2,7247.1,889.75,4761.5,618.6,2.39,0.0023,1.675,37.46,1.60E+04,1196326
6280.8,157,146.7,6.4,9.21,0.56,8.80E-06,0.00032,2.69,204,386.9,1219.8,790.1,202.3,3995.13,11824.4,289.37,8485,2778.3,1588.09,2064.7,858.3,0.84,0.0031,1.27,13.54,1.30E+04,2541742
3292.8,175.7,230.9,10.7,9.43,0.73,6.31E-05,0.00067,1.26,189.5,451.7,741.6,238.5,88.3,863.273,16055.5,1619.24,3958.7,6520.5,1173.68,4262.9,832.6,0.91,0.0015,0.835,31.04,1.70E+04,1514597
6541.8,188.1,261,10.3,5.44,1.59,9.76E-05,0.000768,2.44,235.5,661.7,620.7,591.1,180.6,9432.45,15324.9,2932.85,8935.3,5105.4,767.36,3346.9,484.3,2.11,0.0081,1.66,15.17,1.70E+04,3031083
